product,version,break,class def,const,continue,declare,do,echo,expression statement (chain rule),for,foreach,function def,global,goto,halt compiler,if,inline HTML,interface def,trait def,label,namespace,return,static,switch,throw,try/catch,unset,use,while
WordPress,3.0.3,1019,168,0,261,0,38,2650,33758,153,1273,2210,859,0,0,12184,5630,0,0,0,0,6094,61,212,0,0,366,0,249
WordPress,3.4,1025,207,0,333,0,39,2850,37335,144,1450,2471,959,0,0,13762,6179,0,0,0,0,7080,83,238,27,13,417,0,256
WordPress,3.0.2,1019,168,0,261,0,38,2650,33743,153,1273,2210,859,0,0,12176,5630,0,0,0,0,6092,61,212,0,0,366,0,249
WordPress,2.2.1,430,60,0,69,0,7,1424,14457,90,513,971,588,0,0,4487,2980,0,0,0,0,2002,0,102,0,0,103,0,109
WordPress,1.2.2,239,11,0,6,0,0,834,7422,88,220,494,337,0,0,1904,1583,0,0,0,0,706,0,56,0,0,10,0,29
WordPress,3.3,1025,193,0,314,0,38,2793,36068,140,1374,2371,944,0,0,13155,6022,0,0,0,0,6661,67,223,24,11,406,0,262
WordPress,3.0.1,1020,168,0,261,0,38,2620,33545,153,1265,2186,848,0,0,12096,5581,0,0,0,0,6077,61,212,0,0,366,0,249
WordPress,1.2.1,217,11,0,6,0,0,834,6725,84,206,452,276,0,0,1797,1589,0,0,0,0,620,0,51,0,0,10,0,28
WordPress,3.2,986,187,0,303,0,38,2745,35469,139,1366,2328,936,0,0,12908,5927,0,0,0,0,6495,63,213,24,11,406,0,260
WordPress,1.0.2,231,7,0,8,0,0,868,5690,79,160,403,310,0,0,1566,877,0,0,0,0,563,0,52,0,0,6,0,30
WordPress,2.0.1,303,36,0,37,0,3,1179,10193,76,369,696,439,0,0,3235,2390,0,0,0,0,1379,0,68,0,0,54,0,66
WordPress,3.1,1011,189,0,283,0,38,2644,34702,151,1340,2278,935,0,0,12641,5258,0,0,0,0,6483,64,216,0,0,388,0,251
WordPress,3.0,1020,168,0,260,0,38,2610,33519,153,1265,2184,857,0,0,12074,5579,0,0,0,0,6072,59,212,0,0,366,0,249
WordPress,0.71-gold,153,7,0,5,0,0,654,3968,61,60,236,215,0,0,1033,684,0,0,0,0,350,0,32,0,0,4,0,46
WordPress,1.0.1-miles,231,7,0,8,0,0,867,5670,79,159,403,310,0,0,1563,877,0,0,0,0,563,0,52,0,0,6,0,30
WordPress,1.0-platinum,222,7,0,8,0,0,932,5614,79,156,386,297,0,0,1545,929,0,0,0,0,547,0,50,0,0,6,0,28
WordPress,2.9.2,993,174,0,225,0,37,2458,30798,161,1126,1829,758,0,0,10735,4734,0,0,0,0,5684,50,211,0,0,302,0,246
WordPress,2.9.1,993,174,0,225,0,37,2458,30798,161,1126,1829,758,0,0,10733,4734,0,0,0,0,5683,50,211,0,0,302,0,246
WordPress,1.5.1.3,262,25,0,21,0,0,872,8501,80,285,566,335,0,0,2530,2200,0,0,0,0,1029,0,58,0,0,34,0,56
phpBB,3,1472,207,0,330,0,60,170,26943,170,1007,481,1012,0,0,7982,27,0,0,0,0,2453,74,368,0,0,484,0,675
Joomla,2.5.4,971,1012,0,191,1,18,7721,44456,282,1516,111,4,0,0,12720,11150,2,0,0,0,7414,136,245,322,77,359,0,163
Joomla,3.1.5,1096,1219,13,218,1,22,9534,49818,297,1827,119,3,0,0,15079,14444,18,0,0,0,8753,136,269,655,256,385,0,162
MediaWiki,1.19.1,1365,1424,0,435,1,45,449,63238,256,2256,289,1859,0,0,16371,472,13,0,0,0,12632,141,247,759,157,506,0,311
MediaWiki,1.21.2,1497,1624,0,510,1,66,464,76841,297,2731,298,1955,0,0,19002,505,21,0,0,0,14626,151,273,941,264,558,0,349
Drupal,7.14,389,95,0,64,0,15,3,18014,64,1306,2281,152,0,0,5111,850,16,0,0,0,2872,81,113,171,60,273,0,83
Drupal,7.23,390,99,0,65,0,15,3,18222,65,1312,2293,152,0,0,5190,850,16,0,0,3,2927,82,113,173,59,277,0,83
Gallery,3.0.4,835,337,0,51,0,11,1321,11018,52,552,48,9,0,0,3339,2062,4,0,0,0,1862,22,140,244,100,75,0,43
Kohana,3.2,68,340,0,22,0,12,195,5190,23,279,33,4,0,0,1559,409,15,0,0,0,1593,22,17,136,49,48,0,24
Moodle,2.3,5169,4407,0,1744,0,90,10398,241509,1179,8212,3598,6255,0,0,58158,2253,43,0,0,5,32817,396,1203,3167,661,1812,3,777
Smarty,3.1.11,122,112,0,50,0,21,62,4099,27,176,57,0,0,0,1553,0,0,0,0,0,719,20,30,103,15,39,0,40
SquirrelMail,1.4.22,541,22,0,38,0,8,1180,11682,206,244,604,500,0,0,3375,133,0,0,0,0,961,6,94,0,0,88,0,123
phpMyAdmin,3.5.0-english,502,92,0,116,0,2,4236,20800,308,748,804,274,0,0,6637,3151,0,0,0,0,1881,24,95,1,8,544,0,170
PEAR,1.9.4,265,72,0,266,0,14,10,8365,17,605,4,5,0,0,4559,0,0,0,0,0,2289,28,44,1,0,173,0,56
DoctrineORM,2.2.2,195,464,0,134,0,4,3,8416,18,796,0,0,0,0,3022,0,35,0,0,499,3317,2,95,501,24,61,399,53
CakePHP,2.4.1,228,1031,0,143,0,3,112,63610,103,924,35,0,0,0,6051,42,7,0,0,0,3855,16,81,204,60,577,0,94
CakePHP,2.2.0-0,315,1005,0,134,0,3,107,59519,103,902,35,0,0,0,5701,38,7,0,0,0,3604,16,81,168,43,559,0,93
