product,version,class consts with variable class name,assignments into variable-variables,assignments w/ops into variable-variables,list assignments into variable-variables,ref assignments into variable-variables,object creation with variable class name,calls of variable function names,calls of variable method names,calls of static methods with variable names,calls of static methods with variable targets,includes with non-literal paths,fetches of properties with variable names,fetches of static properties with variable names,fetches of static properties with variable targets,uses of variable-variables (including the above),definitions of overloads: set,definitions of overloads: get,definitions of overloads: isset,definitions of overloads: unset,definitions of overloads: call,definitions of overloads: callStatic,var-args support functions,break with non-literal argument,continue with non-literal argument
Joomla,2.5.4,0,0,0,0,0,155,9,11,2,0,352,239,0,0,2,2,7,1,1,4,0,19,0,0
Joomla,3.1.5,0,1,0,0,0,172,8,15,4,9,344,319,0,2,3,6,19,3,3,5,0,19,0,0
MediaWiki,1.19.1,0,2,0,0,1,90,3,12,2,0,493,95,0,0,11,2,3,0,0,14,0,93,0,0
MediaWiki,1.21.2,0,2,0,0,1,91,103,21,2,4,504,112,0,0,12,2,3,0,0,15,0,98,0,0
Drupal,7.14,0,1,0,0,0,25,372,3,0,0,171,91,0,0,1,0,1,0,0,1,0,24,0,0
Drupal,7.23,0,1,0,0,0,25,374,3,0,0,172,93,0,0,1,0,1,0,0,1,0,24,0,0
Gallery,3.0.4,0,2,0,0,0,19,7,14,12,0,42,96,0,0,7,4,15,2,1,15,0,29,0,0
Kohana,3.2,0,3,0,0,0,12,8,11,4,0,48,14,0,0,7,2,2,2,2,0,0,21,0,0
Moodle,2.3,0,7,0,0,0,387,202,85,1,23,4283,1273,3,0,37,27,41,9,3,31,0,116,0,0
Smarty,3.1.11,0,34,0,0,0,21,12,19,0,0,36,12,0,0,40,5,6,0,0,1,0,0,0,0
SquirrelMail,1.4.22,0,7,0,0,0,0,24,0,0,0,422,3,0,0,24,0,0,0,0,0,0,10,0,0
phpMyAdmin,3.5.0-english,0,40,0,0,0,8,33,3,0,0,44,5,0,0,110,1,1,0,0,1,0,9,0,0
PEAR,1.9.4,0,0,0,0,0,22,2,16,0,0,11,7,0,0,1,0,0,0,0,1,0,1,0,0
DoctrineORM,2.2.2,0,0,0,0,0,21,15,8,1,2,54,60,1,0,0,1,1,0,0,3,0,39,0,0
CakePHP,2.4.1,0,5,0,0,0,102,0,26,3,0,121,379,14,0,14,5,12,8,0,10,0,40,0,0
CakePHP,2.2.0-0,0,10,0,0,0,95,0,25,3,0,120,377,14,0,20,5,12,7,0,10,0,37,0,0
