product,version,array,fetch array dim,fetch class const,assign,assign with operation: bitwise and,assign with operation: bitwise or,assign with operation: bitwise xor,assign with operation: concat,assign with operation: div,assign with operation: minus,assign with operation: mod,assign with operation: mul,assign with operation: plus,assign with operation: right shift,assign with operation: left shift,list assign,ref assign,binary operation: bitwise and,binary operation: bitwise or,binary operation: bitwise xor,binary operation: concat,binary operation: div,binary operation: minus,binary operation: mod,binary operation: mul,binary operation: plus,binary operation: right shift,binary operation: left shift,binary operation: boolean and,binary operation: boolean or,binary operation: gt,binary operation: geq,binary operation: logical and,binary operation: logical or,binary operation: logical xor,binary operation: not equal,binary operation: not identical,binary operation: lt,binary operation: leq,binary operation: equal,binary operation: identical,unary operation: boolean not,unary operation: bitwise not,unary operation: post dec,unary operation: pre dec,unary operation: post inc,unary operation: pre inc,unary operation: unary plus,unary operation: unary minus,new,cast to int,cast to bool,cast to float,cast to string,cast to array,cast to object,cast to unset,clone,closure,fetch const,empty,suppress,eval,exit,call,method call,static call,include,instanceOf,isSet,print,property fetch,shell exec,ternary,fetch static property,scalar,var,list
WordPress,3.0.5,4027,16487,0,21738,12,8,1,1434,1,26,0,2,122,0,0,0,349,199,105,3,10148,102,353,20,160,360,38,24,2400,1159,405,162,46,17,0,940,540,475,103,2507,680,4492,4,37,16,318,75,0,419,689,646,38,23,55,525,47,0,4,0,9082,2100,535,0,429,33808,4931,433,498,0,2385,5,11691,0,1138,0,75209,88265,99
WordPress,3.6,5460,29421,37,29702,12,11,1,1742,3,37,0,15,574,6,0,0,200,491,102,3,12013,234,651,31,310,712,89,65,3302,1519,586,229,47,15,0,1001,663,649,181,3093,991,6054,4,51,16,474,80,0,502,859,685,259,52,92,566,58,0,14,0,11888,2681,528,0,321,43145,7225,1425,632,20,3171,5,14449,5,1565,98,108040,116827,135
WordPress,2.0.5,704,3696,0,6621,0,0,0,452,0,5,0,3,29,0,0,0,55,21,1,1,3214,39,97,8,78,112,0,0,375,218,136,25,22,9,0,313,45,150,30,826,39,1111,0,5,1,112,34,0,110,122,147,1,3,8,14,0,0,0,0,1618,498,130,3,224,9979,1305,4,234,0,436,3,3724,0,172,0,21969,26107,32
WordPress,2.2.3,1115,4888,0,8877,0,0,0,730,0,10,0,0,15,0,0,0,103,25,3,2,3911,48,128,9,90,132,1,0,540,310,187,63,23,8,0,406,139,195,49,1046,70,1425,0,10,1,137,53,0,145,192,374,1,3,9,78,0,0,0,0,2276,715,170,2,188,13357,1828,4,289,0,587,8,5187,0,290,0,27926,35344,43
WordPress,3.0.4,4026,16487,0,21736,12,8,1,1434,1,26,0,2,122,0,0,0,349,199,105,3,10148,102,353,20,160,360,38,24,2400,1159,405,162,46,17,0,939,541,475,103,2507,679,4491,4,37,16,318,75,0,419,689,646,38,23,55,525,47,0,4,0,9081,2099,535,0,429,33797,4931,433,498,0,2385,5,11688,0,1138,0,75199,88256,99
WordPress,3.5,4920,18435,17,24419,12,11,1,1550,2,28,0,2,135,0,0,0,126,223,78,3,10874,90,342,19,167,364,37,32,2855,1381,439,151,47,15,0,926,620,484,118,2672,828,5521,5,43,16,321,72,0,462,792,655,99,24,67,567,57,0,14,0,10620,2300,521,0,318,39689,6375,394,620,18,2752,5,13444,0,1336,88,87166,98726,120
WordPress,3.2.1,4554,17244,15,22727,12,7,1,1402,1,26,0,2,123,0,0,0,316,199,77,3,10854,96,341,19,142,361,37,24,2600,1190,410,156,49,17,0,927,575,457,111,2613,701,4917,4,36,15,315,69,0,398,735,621,69,23,60,554,53,0,9,0,9609,2211,523,0,482,36654,5302,451,574,0,2537,2,12238,0,1228,2,80269,92300,115
WordPress,2.2.2,1114,4867,0,8869,0,0,0,727,0,10,0,0,15,0,0,0,103,25,3,2,3912,48,129,9,90,132,1,0,540,308,187,63,23,8,0,406,138,195,49,1047,67,1424,0,10,1,137,53,0,144,192,374,1,3,9,77,0,0,0,0,2273,714,170,2,188,13346,1827,4,289,0,587,8,5184,0,290,0,27886,35288,43
WordPress,2.0.4,693,3614,0,6405,0,0,0,436,0,5,0,3,28,0,0,0,55,21,1,1,3150,37,92,8,78,108,0,0,370,221,127,24,22,9,0,311,44,137,27,813,41,1103,0,5,0,107,34,0,107,122,130,1,3,8,8,0,0,0,0,1608,489,131,3,216,9729,1265,4,234,0,431,3,3676,0,168,0,21393,25463,32
WordPress,3.0.3,4026,16489,0,21739,12,8,1,1434,1,26,0,2,122,0,0,0,349,199,105,3,10149,102,353,20,160,360,38,24,2400,1159,405,162,46,17,0,939,541,475,103,2507,679,4491,4,37,16,318,75,0,419,689,646,38,23,55,525,47,0,4,0,9081,2100,535,0,429,33794,4931,433,498,0,2385,5,11688,0,1138,0,75205,88265,99
WordPress,3.4,4845,18059,15,23746,12,9,1,1527,1,26,0,2,132,0,0,0,303,215,77,3,10747,95,345,19,151,360,37,32,2771,1335,430,155,48,15,0,926,604,476,119,2656,743,5336,4,41,16,317,72,0,456,847,658,87,23,67,570,57,0,11,0,10310,2294,531,0,323,38998,6119,501,589,3,2685,4,12917,0,1283,82,85836,96806,120
WordPress,3.0.2,4026,16482,0,21722,12,8,1,1434,1,26,0,2,122,0,0,0,349,199,105,3,10149,102,353,20,160,360,38,24,2400,1152,405,162,46,17,0,939,541,475,103,2501,679,4488,4,37,16,318,75,0,419,687,646,38,23,55,525,47,0,4,0,9081,2100,535,0,429,33786,4931,433,498,0,2384,5,11686,0,1140,0,75172,88236,99
WordPress,2.2.1,1116,4861,0,8860,0,0,0,727,0,10,0,0,15,0,0,0,103,25,3,2,3898,48,129,9,90,132,1,0,539,304,187,63,23,8,0,403,138,194,49,1049,66,1422,0,10,1,137,53,0,144,192,372,1,3,9,77,0,0,0,0,2272,712,170,2,188,13335,1825,4,289,0,586,8,5182,0,289,0,27881,35262,43
WordPress,1.2.2,342,2052,0,5025,0,0,0,335,0,2,0,0,22,0,0,0,0,6,7,1,2325,11,81,2,43,132,0,6,233,126,117,20,6,40,0,267,4,147,21,550,5,566,0,12,0,59,26,0,75,211,25,0,2,2,1,0,0,0,0,551,223,61,8,153,5951,840,0,207,0,240,23,1239,0,147,0,16841,19399,27
WordPress,3.3,4713,17346,15,22971,12,7,1,1419,1,27,0,2,127,0,0,0,306,199,77,3,10983,94,342,19,145,360,37,24,2641,1240,411,153,49,15,0,934,591,461,105,2642,709,5027,4,36,15,312,71,0,401,748,628,73,23,67,556,54,0,11,0,9764,2242,528,0,488,37468,5479,473,576,0,2537,2,12315,0,1251,77,82002,93140,124
WordPress,3.0.1,4017,16419,0,21607,12,8,1,1429,1,26,0,2,122,0,0,0,349,199,105,3,10097,102,352,20,160,360,38,24,2380,1142,402,162,46,17,0,933,541,472,102,2477,678,4465,4,37,16,318,75,0,418,687,641,38,23,55,524,47,0,4,0,9072,2087,535,0,425,33526,4925,433,497,0,2367,5,11635,0,1138,0,74691,87835,99
WordPress,1.2.1,234,1870,0,4388,0,0,0,330,0,0,0,0,22,0,0,0,0,6,7,1,2128,11,79,2,40,80,0,6,222,118,108,20,6,39,0,260,4,136,18,534,3,536,0,12,0,57,26,0,73,45,11,0,2,2,1,0,0,0,0,521,212,60,8,146,5564,656,0,204,0,225,23,1199,0,124,0,15526,17324,24
WordPress,3.2,4534,17182,15,22663,12,7,1,1372,1,26,0,2,108,0,0,0,316,169,68,3,10832,96,338,18,142,338,32,20,2575,1185,410,149,49,17,0,923,573,455,107,2555,701,4906,4,36,15,313,58,0,396,731,618,69,20,60,554,53,0,9,0,9546,2211,521,0,482,36486,5284,445,572,0,2537,2,12231,0,1224,2,79959,91821,115
WordPress,1.0.2,350,1505,0,4342,0,0,0,247,0,1,0,0,17,0,0,0,2,0,0,1,1747,4,59,2,43,142,0,0,219,105,109,18,5,42,0,230,1,133,19,505,2,457,0,12,0,55,22,0,61,268,2,0,2,0,0,0,0,0,0,441,178,50,6,146,3599,776,0,146,0,149,21,1061,0,128,0,13848,16819,23
WordPress,2.0.1,653,3498,0,6249,0,0,0,429,0,4,0,3,28,0,0,0,55,19,1,1,3022,35,90,8,78,107,0,0,361,215,127,24,22,9,0,311,40,138,27,809,39,1060,0,5,0,107,34,0,95,123,120,1,3,8,6,0,0,0,0,1562,470,129,3,207,9361,1261,4,234,0,427,3,3646,0,173,0,20851,25038,32
WordPress,3.1,4442,17201,0,22363,12,8,1,1382,1,26,0,2,123,0,0,0,332,199,105,3,10405,96,335,20,143,359,38,24,2542,1156,418,163,46,17,0,920,559,463,107,2541,693,4792,4,36,15,317,68,0,421,714,616,67,23,61,548,51,0,4,0,9492,2168,524,0,486,35021,5250,456,558,0,2512,2,12086,0,1210,0,77937,91002,114
WordPress,3.0,4009,16394,0,21579,12,8,1,1434,1,26,0,2,122,0,0,0,349,199,105,3,10085,102,352,20,160,360,38,24,2369,1143,402,163,46,17,0,931,540,472,102,2472,675,4459,4,37,16,318,75,0,418,686,640,38,23,55,525,47,0,4,0,9056,2081,535,0,425,33446,4920,433,497,0,2363,5,11640,0,1135,0,74602,87786,99
WordPress,0.71-gold,235,1097,0,3085,0,0,0,167,0,0,0,0,12,0,0,0,6,0,0,0,1374,4,62,4,27,113,0,0,140,86,80,13,7,63,0,127,1,91,11,361,1,308,0,9,1,57,23,0,37,193,2,0,1,0,0,0,0,0,0,253,122,47,5,123,2322,396,0,133,0,104,18,639,0,82,0,8418,11226,20
WordPress,1.0.1-miles,350,1499,0,4326,0,0,0,247,0,1,0,0,17,0,0,0,2,0,0,1,1746,4,59,2,43,142,0,0,219,105,109,18,5,42,0,229,1,133,19,504,2,455,0,12,0,55,22,0,61,268,2,0,2,0,0,0,0,0,0,441,178,50,6,146,3574,774,0,146,0,149,21,1061,0,128,0,13696,16760,23
