Product,Version,ReleaseDate,RequiredPHPVersion,Comments
ZendFramework,1.11.2,12/30/10,5.2.4,
ZendFramework,1.11.3,2/1/11,5.2.4,
ZendFramework,1.11.4,3/3/11,5.2.4,
ZendFramework,1.11.5,4/7/11,5.2.4,
ZendFramework,1.11.6,5/5/11,5.2.4,
ZendFramework,1.11.7,6/2/11,5.2.4,
ZendFramework,1.11.8,7/7/11,5.2.4,
ZendFramework,1.11.9,7/14/11,5.2.4,
ZendFramework,1.11.10,8/3/11,5.2.4,
ZendFramework,1.11.11,9/29/11,5.2.4,
ZendFramework,1.11.12,6/22/12,5.2.4,
ZendFramework,1.12.0,8/27/12,5.2.4,
ZendFramework,2.0.3,10/17/12,5.3.3,
ZendFramework,1.12.3,3/13/13,5.2.11,
ZendFramework,2.3.7,3/12/15,5.3.23,
MediaWiki,1.11.0,9/10/07,5.0,
MediaWiki,1.11.1,1/23/08,5.0,
MediaWiki,1.11.2,3/2/08,5.0,
MediaWiki,1.10.0,5/9/07,5.0,
MediaWiki,1.10.1,7/13/07,5.0,
MediaWiki,1.10.2,9/10/07,5.0,
MediaWiki,1.10.3,1/23/08,5.0,
MediaWiki,1.10.4,3/2/08,5.0,
MediaWiki,1.12.0,3/20/08,5.0,
MediaWiki,1.12.1,10/2/08,5.0,
MediaWiki,1.12.2,12/15/08,5.0,
MediaWiki,1.12.3,12/17/08,5.0,
MediaWiki,1.12.4,2/7/09,5.0,
MediaWiki,1.13.0,8/14/08,5.0,
MediaWiki,1.13.1,9/6/08,5.0,
MediaWiki,1.13.2,10/2/08,5.0,
MediaWiki,1.13.3,12/15/08,5.0,
MediaWiki,1.13.4,2/7/09,5.0,
MediaWiki,1.13.5,2/22/09,5.0,
MediaWiki,1.14.0,2/22/09,5.0,
MediaWiki,1.14.1,7/14/09,5.0,
MediaWiki,1.15.0,6/10/09,5.0,
MediaWiki,1.15.1,7/14/09,5.0,
MediaWiki,1.15.2,3/8/10,5.0,
MediaWiki,1.15.3,4/7/10,5.0,
MediaWiki,1.15.4,5/28/10,5.0,
MediaWiki,1.15.5,7/28/10,5.0,
MediaWiki,1.16.0,7/28/10,5.0,
MediaWiki,1.16.1,1/4/11,5.0,
MediaWiki,1.16.2,2/1/11,5.0,
MediaWiki,1.16.3,4/12/11,5.0,
MediaWiki,1.16.4,4/14/11,5.0,
MediaWiki,1.16.5,5/5/11,5.1,
MediaWiki,1.17.0,6/22/11,5.2.3,
MediaWiki,1.17.1,11/24/11,5.2.3,
MediaWiki,1.17.2,1/11/12,5.2.3,
MediaWiki,1.17.3,3/21/12,5.2.3,
MediaWiki,1.17.4,4/25/12,5.2.3,
MediaWiki,1.17.5,6/12/12,5.2.3,
MediaWiki,1.18.0,11/24/11,5.2.3,
MediaWiki,1.18.1,1/11/12,5.2.3,
MediaWiki,1.18.2,3/21/12,5.2.3,
MediaWiki,1.18.3,4/25/12,5.2.3,
MediaWiki,1.18.4,6/12/12,5.2.3,
MediaWiki,1.19.0,5/2/12,5.2.3,
MediaWiki,1.19.1,6/13/12,5.2.3,
MediaWiki,1.19.2,8/31/12,5.2.3,
MediaWiki,1.20.0,11/7/12,5.3.2,
MediaWiki,1.22.0,12/6/13,5.3.2,
MediaWiki,1.3.11,2/20/05,4.1.2,
MediaWiki,1.3.12,2/20/05,4.1.2,
MediaWiki,1.3.13,6/3/05,4.1.2,
MediaWiki,1.3.15,8/29/05,4.1.2,
MediaWiki,1.3.18,11/2/05,4.1.2,
MediaWiki,1.4.12,11/2/05,4.1.2,
MediaWiki,1.4.13,1/5/06,4.1.2,
MediaWiki,1.4.14,1/19/06,4.1.2,
MediaWiki,1.4.15,3/26/06,4.1.2,
MediaWiki,1.4.4,5/4/05,4.1.2,
MediaWiki,1.4.5,6/3/05,4.1.2,
MediaWiki,1.4.7,7/16/05,4.1.2,
MediaWiki,1.4.9,8/29/05,4.1.2,
MediaWiki,1.5.2,11/2/05,4.1.2,
MediaWiki,1.5.5,1/5/06,4.1.2,
MediaWiki,1.5.6,1/19/06,4.1.2,
MediaWiki,1.5.8,3/26/06,4.1.2,
MediaWiki,1.6.3,4/10/06,4.3.2,
MediaWiki,1.6.8,7/8/06,4.3.3,
MediaWiki,1.6.10,2/20/07,4.3.3,
MediaWiki,1.6.11,12/15/08,4.3.3,
MediaWiki,1.6.12,2/7/09,4.3.3,
MediaWiki,1.7.1,7/8/06,5.0,
MediaWiki,1.7.3,2/20/07,5.0,
MediaWiki,1.8.2,10/13/06,5.0,
MediaWiki,1.8.4,2/20/07,5.0,
MediaWiki,1.8.5,9/10/07,5.0,
MediaWiki,1.9.0,1/10/07,5.0,
