product, version, file, phplines
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/ext/modules/payment/inpay/pb_handler.php,303
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/filenames.php,50
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/stats_customers.php,63
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/whos_online.php,14
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/payment/pm2checkout.php,174
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/functions/database.php,120
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/products_new.php,69
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/social_bookmarks/sb_digg.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/boxes/bm_currencies.php,63
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/conditions.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/account.php,43
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/payment/moneybookers_ngp.php,91
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/boxes/customers.php,17
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/login.php,130
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/payment/moneybookers_so2.php,92
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/classes/language.php,74
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/shipping.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/payment/moneybookers_pwy.php,92
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/security_check/file_uploads.php,3
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/shipping/item.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/modules/dashboard/d_customers.php,49
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/zones.php,16
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/payment/moneybookers_lsr.php,92
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/header_tags/ht_google_analytics.php,4
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/shipping/flat.php,64
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/dashboard/d_version_check.php,8
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/geo_zones.php,275
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/product_reviews_info.php,11
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/payment/sage_pay_direct.php,26
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/modules/dashboard/d_latest_news.php,65
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/account_notifications.php,113
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/template_top.php,42
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/classes/rss.php,132
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/categories.php,79
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/payment/sofortueberweisung_direct.php,28
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/install/templates/main_page.php,33
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/payment/moneybookers_slo.php,92
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/popup_image.php,25
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/privacy.php,19
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/zones.php,141
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/classes/osc_template.php,70
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/install/templates/pages/install.php,105
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/boxes/bm_product_notifications.php,59
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/payment/moneybookers_idl.php,92
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/header_tags/ht_mailchimp_360/mc360.php,160
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/boxes/bm_manufacturer_info.php,7
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/checkout_success.php,79
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/info_shopping_cart.php,25
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/cfg_modules/cfgm_action_recorder.php,3
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/boxes/localization.php,22
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/reviews.php,30
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/languages.php,18
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/header_tags/ht_google_analytics.php,101
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/security_check/session_auto_start.php,3
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/order_total/ot_shipping.php,67
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/shopping_cart.php,15
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/header_tags/ht_mailchimp_360.php,4
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/password_forgotten.php,10
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/modules/cfg_modules/cfgm_order_total.php,14
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/tax_classes.php,15
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/boxes/bm_product_social_bookmarks.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english.php,231
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/order_total/ot_total.php,4
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/tell_a_friend.php,21
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/payment/pm2checkout.php,9
