product,version,array,fetch array dim,fetch class const,assign,assign with operation: bitwise and,assign with operation: bitwise or,assign with operation: bitwise xor,assign with operation: concat,assign with operation: div,assign with operation: minus,assign with operation: mod,assign with operation: mul,assign with operation: plus,assign with operation: right shift,assign with operation: left shift,list assign,ref assign,binary operation: bitwise and,binary operation: bitwise or,binary operation: bitwise xor,binary operation: concat,binary operation: div,binary operation: minus,binary operation: mod,binary operation: mul,binary operation: plus,binary operation: right shift,binary operation: left shift,binary operation: boolean and,binary operation: boolean or,binary operation: gt,binary operation: geq,binary operation: logical and,binary operation: logical or,binary operation: logical xor,binary operation: not equal,binary operation: not identical,binary operation: lt,binary operation: leq,binary operation: equal,binary operation: identical,unary operation: boolean not,unary operation: bitwise not,unary operation: post dec,unary operation: pre dec,unary operation: post inc,unary operation: pre inc,unary operation: unary plus,unary operation: unary minus,new,class const,cast to int,cast to bool,cast to float,cast to string,cast to array,cast to object,cast to unset,clone,closure,fetch const,empty,suppress,eval,exit,call,method call,static call,include,instanceOf,isSet,print,property fetch,shell exec,ternary,fetch static property,scalar,var
ZendFramework,1.11.10,41469,27221,11509,71032,6,56,0,1386,10,131,11,40,477,2,5,207,83,317,164,12,25466,310,820,145,600,1199,118,109,2330,1342,885,314,175,79,0,1244,2196,992,229,4074,3004,6404,17,48,104,959,165,0,3760,19116,0,580,271,58,1054,292,37,0,63,1,31609,1477,479,13,36,30786,117046,11030,12790,2752,3025,205,64386,0,36,1513,351181,323892
ZendFramework,1.11.11,41551,27241,11523,71168,6,56,0,1388,10,131,11,40,477,2,5,207,83,317,164,12,25483,310,821,146,600,1199,118,109,2341,1345,885,314,175,79,0,1246,2202,992,229,4079,3005,6421,17,48,104,959,165,0,3761,19150,0,580,273,57,1054,292,39,0,63,1,31677,1478,478,13,36,30820,117259,11056,12807,2758,3028,205,64470,0,36,1515,351617,324413
ZendFramework,1.11.12,41588,27280,11543,71260,6,56,0,1391,10,131,11,40,478,2,5,207,83,317,164,12,25502,310,829,146,600,1198,118,109,2340,1345,887,318,175,79,0,1246,2200,993,230,4077,3003,6422,17,48,104,960,165,0,3762,19201,0,580,273,57,1061,293,39,0,63,1,31692,1483,480,13,36,30863,117448,11075,12815,2749,3039,205,64508,0,36,1517,351967,324849
osCommerce,2.3.1,1857,10917,0,9475,0,8,0,818,0,8,0,2,76,1,0,189,19,50,0,5,17997,119,201,28,212,313,18,12,1202,359,428,62,0,6,0,411,14,589,25,1895,19,816,3,3,4,450,0,0,134,226,0,1163,8,12,6,3,0,0,0,0,11169,238,100,4,38,15403,1693,22,683,0,1002,0,5806,0,38,0,43514,37819
phpBB,3,7837,24236,3,19327,0,9,0,1175,4,24,3,16,189,0,0,91,108,122,59,5,16372,127,500,22,212,491,20,77,2514,1191,339,83,0,0,0,577,493,417,75,2591,597,3740,6,27,24,262,72,0,237,210,0,1127,43,14,165,0,0,0,1,0,11180,1002,748,14,217,16039,8997,85,404,0,1380,0,9282,0,217,0,175759,93943
phpMyAdmin,2.11.11.3-english,1240,13671,0,9542,0,7,35,1090,1,15,0,6,65,0,0,55,62,173,16,67,12390,125,307,16,211,364,115,11,1599,605,303,204,45,36,0,419,91,279,48,1517,244,1566,0,21,0,319,19,3,131,34,0,66,18,7,49,4,0,0,0,0,2738,843,213,5,147,8740,1164,70,604,1,1561,0,1874,0,147,0,62713,39732
phpMyAdmin,3.5.0-english,3078,22054,64,14703,0,9,35,2355,2,20,0,6,77,0,0,74,69,181,12,66,13121,136,468,19,267,521,97,8,2058,830,417,78,14,9,1,605,154,452,61,2251,365,2318,0,35,0,483,62,3,151,118,0,88,40,32,71,21,0,0,0,0,4603,1055,188,9,228,16238,2119,501,811,18,2241,4,2693,0,228,103,94682,59690product,version,array,fetch array dim,fetch class const,assign,assign with operation: bitwise and,assign with operation: bitwise or,assign with operation: bitwise xor,assign with operation: concat,assign with operation: div,assign with operation: minus,assign with operation: mod,assign with operation: mul,assign with operation: plus,assign with operation: right shift,assign with operation: left shift,list assign,ref assign,binary operation: bitwise and,binary operation: bitwise or,binary operation: bitwise xor,binary operation: concat,binary operation: div,binary operation: minus,binary operation: mod,binary operation: mul,binary operation: plus,binary operation: right shift,binary operation: left shift,binary operation: boolean and,binary operation: boolean or,binary operation: gt,binary operation: geq,binary operation: logical and,binary operation: logical or,binary operation: logical xor,binary operation: not equal,binary operation: not identical,binary operation: lt,binary operation: leq,binary operation: equal,binary operation: identical,unary operation: boolean not,unary operation: bitwise not,unary operation: post dec,unary operation: pre dec,unary operation: post inc,unary operation: pre inc,unary operation: unary plus,unary operation: unary minus,new,cast to int,cast to bool,cast to float,cast to string,cast to array,cast to object,cast to unset,clone,closure,fetch const,empty,suppress,eval,exit,call,method call,static call,include,instanceOf,isSet,print,property fetch,shell exec,ternary,fetch static property,scalar,var,listExprproduct,version,array,fetch array dim,fetch class const,assign,assign with operation: bitwise and,assign with operation: bitwise or,assign with operation: bitwise xor,assign with operation: concat,assign with operation: div,assign with operation: minus,assign with operation: mod,assign with operation: mul,assign with operation: plus,assign with operation: right shift,assign with operation: left shift,list assign,ref assign,binary operation: bitwise and,binary operation: bitwise or,binary operation: bitwise xor,binary operation: concat,binary operation: div,binary operation: minus,binary operation: mod,binary operation: mul,binary operation: plus,binary operation: right shift,binary operation: left shift,binary operation: boolean and,binary operation: boolean or,binary operation: gt,binary operation: geq,binary operation: logical and,binary operation: logical or,binary operation: logical xor,binary operation: not equal,binary operation: not identical,binary operation: lt,binary operation: leq,binary operation: equal,binary operation: identical,unary operation: boolean not,unary operation: bitwise not,unary operation: post dec,unary operation: pre dec,unary operation: post inc,unary operation: pre inc,unary operation: unary plus,unary operation: unary minus,new,cast to int,cast to bool,cast to float,cast to string,cast to array,cast to object,cast to unset,clone,closure,fetch const,empty,suppress,eval,exit,call,method call,static call,include,instanceOf,isSet,print,property fetch,shell exec,ternary,fetch static property,scalar,var,listExpr
WordPress,1.5.1.2,336,2698,0,5356,0,0,0,385,0,2,0,0,22,0,0,0,45,6,1,1,2430,15,89,8,57,104,0,0,318,154,119,31,26,24,0,269,25,156,22,681,12,823,0,6,0,73,30,0,93,81,69,1,3,6,6,0,0,0,0,1127,357,80,3,187,7617,754,4,223,0,337,13,2725,0,142,0,17678,20547,0
WordPress,3.5.2,4934,18483,17,24469,12,11,1,1551,2,28,0,2,135,0,0,0,126,223,79,3,10906,90,342,19,167,363,37,32,2864,1376,440,152,47,15,0,924,622,486,119,2665,851,5529,5,44,16,321,72,0,462,784,655,99,24,70,567,57,0,14,0,10665,2296,524,0,318,39842,6386,395,620,18,2763,5,13457,0,1352,88,87373,98928,0
WordPress,2.7.1,2469,10294,0,15475,0,4,0,1033,0,21,0,2,43,0,0,0,190,108,13,16,6777,73,276,12,126,280,27,20,1336,647,320,124,51,18,0,714,253,404,69,1796,310,3055,0,29,15,266,66,0,275,479,512,9,4,16,322,21,0,2,0,4897,1443,441,8,297,23714,3415,169,399,0,1417,7,7551,0,691,0,49156,62044,0
